date,open,high,low,close,volume,symbol,rsi,macd,adx,adp,adm,dri,dlogri,avgtr,donch_hband,donch_lband,vwap
06/08/2022,40.59,40.89,39.8,40.055,1930136.7,sol,52.52058511,0.956120738,0,25.25531984,16.85887166,-1.318058635,-1.326822118,3.358328617,47.365,34.635,40.28817523
07/08/2022,40.055,41.58,39.16,40.59,2282147.8,sol,53.93188735,0.915191714,0,25.42369937,15.98732668,1.335663463,1.326822118,3.291305145,47.365,34.635,40.2689848
08/08/2022,40.59,43.78,40.53,42.175,4539993.8,sol,57.92237576,0.999134026,26.66527771,28.36417326,14.87514631,3.904902685,3.830589758,3.288354777,46.635,34.635,40.53838054
09/08/2022,42.175,42.75,39.67,40.31,3711543.4,sol,52.19341795,0.904739723,26.57810165,26.48384993,15.74005605,-4.422050978,-4.52280513,3.273472293,46.635,34.635,40.88939194
10/08/2022,40.31,42.915,38.965,42.45,5549372.1,sol,57.40006153,0.991185899,26.16329504,24.26244359,15.91687419,5.308856363,5.172733563,3.321795701,46.635,34.635,41.1176191
11/08/2022,42.45,45.3,42.31,42.765,6474609.8,sol,58.1230423,1.072747024,26.45450732,27.81467571,14.89819086,0.74204947,0.739309828,3.298096008,46.635,34.635,41.250467
12/08/2022,42.765,45.48,42.105,45.455,4521395.8,sol,63.77673019,1.339010047,26.62312314,25.80694576,14.26124497,6.290190576,6.100281454,3.30358915,46.635,34.635,41.35683491
13/08/2022,45.455,48.34,45.255,46.56,6821981.4,sol,65.81821489,1.620509453,27.49759676,30.24517348,13.3151323,2.43097569,2.401897785,3.287975639,48.34,34.635,41.6787848
14/08/2022,46.56,48.045,44.43,44.845,4484104.6,sol,60.1519757,1.685780959,27.89283223,27.90869015,14.04951887,-3.683419244,-3.752970385,3.311334522,48.34,34.635,41.85081804
15/08/2022,44.845,47.25,42.705,43.7,6003616.1,sol,56.64573242,1.626369393,27.43850479,25.26596077,16.31306236,-2.553238934,-2.586399747,3.399453485,48.34,35.645,42.07882799
16/08/2022,43.7,44.325,41.13,43.07,5042169.5,sol,54.75455552,1.511031335,26.33663093,23.57589689,18.51930701,-1.441647597,-1.452140304,3.384849665,48.34,37.325,42.23457528
